1    1.2  3    0.2
1.2  1.4  4    0.2
1.4  1.6  4    0.2
1.6  1.8  5    0.2
1.8  2.1  5    0.2
2    2.4  7    0.3
2.2  2.5  8    0.3
2.5  2.9  8    0.3
3    3.4  9    0.3
3.5  3.9  10   0.3
4    4.5  11   0.4
4.5  5    13   0.4
5    5.5  13   0.4
6    6.6  15   0.4
7    7.6  18   0.4
8    9    20   0.6
10   11   24   0.6
12   14   28   1.1
14   16   32   1.1
16   18   35   1.1
18   20   39   1.1
20   22   43   1.2
22   24   46   1.2
24   26   50   1.2
27   30   55   1.7
30   33   62   1.7
33   36   66   1.7
36   39   72   1.7
39   42   76   1.7
42   45   82   1.8
45   48   87   1.8
48   52   93   2.3
52   56   100  2.3
56   62   110  3.5
60   66   115  3.5
64   70   122  3.5
68   74   127  3.5
72   78   133  3.5
76   82   143  3.5
80   86   148  3.5
end of data
